Texas December Average Temperature
Units: Degrees Fahrenheit
Base Period: 2022-2023
Missing: -99
Date,Value,Anomaly
202201,45.8,-2.9
202202,45.8,-3.2
202203,57.0,-1.7
202204,68.8,2.1
202205,78.0,2.1
202206,83.8,0.8
202207,87.2,0.5
202208,83.4,-2.1
202209,77.8,-2.0
202210,66.4,-1.0
202211,54.0,-1.3
202212,50.0,-0.9
202301,51.6,2.9
202302,52.1,3.1
202303,60.4,1.7
202304,64.6,-2.1
202305,73.7,-2.2
202306,82.2,-0.8
202307,86.2,-0.5
202308,87.5,2.0
202309,81.7,1.9
202310,68.4,1.0
202311,56.5,1.2
202312,51.8,0.9
202401,44.2,-4.5
202402,56.1,7.1
202403,60.4,1.7
202404,68.0,1.3
